,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uris
295,Young Thug,Patna Dem (Feat. PeeWee Longway),0.602,0.619,11,-9.77,0,0.359,0.0325,0.0,0.462,0.347,139.651,97411,spotify:track:5ULUuxJa8nAjliBAWGLemY
296,Young Thug,Picacho (Feat. Maceo),0.734,0.733,0,-7.13,1,0.419,0.0468,0.0,0.186,0.698,136.146,253936,spotify:track:2mg5bvuB45nFfUhLZmFXOv
297,Young Thug,Triger Finger,0.779,0.576,5,-11.296,0,0.278,0.0191,0.0,0.394,0.71,136.976,187141,spotify:track:5gDBqSBvtwm3LEuowj3z6I
298,Young Thug,Picture Baby,0.829,0.663,6,-8.69,0,0.471,0.141,0.0,0.353,0.711,129.881,192078,spotify:track:5GTElYEO21nMzo7q1edAi2
299,Young Thug,Shooting Star (Feat. Gucci Mane),0.896,0.718,4,-7.941,0,0.115,0.138,0.0,0.431,0.805,120.015,260493,spotify:track:2NI4OG0fXkisAsJpGusdxD
300,Young Thug,Miss U,0.65,0.712,1,-5.168,0,0.21,0.0316,0.0,0.109,0.698,135.078,189153,spotify:track:0tV8IBJMBm9waWAcdpfGu5
301,Young Thug,Tabernacle,0.614,0.527,5,-8.828,0,0.292,0.0923,0.0,0.314,0.696,144.836,176744,spotify:track:3WS4RDhlwFkQEoXYby3smw
302,Young Thug,Why Order,0.932,0.501,8,-6.941,1,0.446,0.0117,0.0,0.191,0.173,120.908,198060,spotify:track:5oDORBSD98wBxngRCGruYb
303,Young Thug,THUG (Feat. Runts),0.747,0.615,0,-6.777,1,0.268,0.0533,0.0,0.313,0.212,137.945,254903,spotify:track:422G7vvffY4FZj782OhDSn
304,Young Thug,F*ck With it (Feat. Young Scooter),0.528,0.842,8,-5.365,1,0.412,0.00777,0.0,0.28,0.693,127.937,209868,spotify:track:1ae02Y3z8Fe6eebHuh6vmQ
305,Gucci Mane,Hot Boyz Intro,0.862,0.346,2,-14.392,1,0.484,0.354,0.0,0.136,0.76,134.963,159687,spotify:track:7epDqsKSGgKZTwaf7qGQzS
306,Gucci Mane,Bricks,0.938,0.679,7,-5.795,1,0.141,0.114,0.0,0.263,0.565,117.995,298841,spotify:track:1IzIxqA6m6IL0OR0Yn7pS7
307,Gucci Mane,Need,0.747,0.306,2,-17.749,1,0.155,0.177,0.0,0.078,0.225,139.987,199367,spotify:track:2Kps5r5y05e6cFdCYTTDQK
308,Gucci Mane,Ride Around The City,0.59,0.688,7,-6.67,1,0.31,0.00341,0.0,0.356,0.506,139.922,192026,spotify:track:4GBegvEF0LXH2yUenWKaN4
309,Gucci Mane,Stoner 2 Times,0.805,0.558,7,-7.327,1,0.105,0.00448,0.0,0.216,0.578,120.02,236042,spotify:track:0FU4LLiYC8MIm6pu1HNXZg
310,Gucci Mane,OMG Bro,0.828,0.433,1,-18.043,0,0.144,0.00775,0.0,0.068,0.843,139.949,205740,spotify:track:7LjAIveereYEKUuMwfO7u2
311,Gucci Mane,Yay (Feat. Takeoff),0.779,0.458,8,-17.324,1,0.205,0.325,0.0,0.0715,0.81,135.001,241816,spotify:track:53DzeaoXAb9WAyxssiHNtR
312,Gucci Mane,Dont Look At Me,0.674,0.564,7,-5.839,1,0.0909,0.188,0.0,0.336,0.263,143.124,188003,spotify:track:5c5H1rZgNrrsYR3gr9DzMt
313,Gucci Mane,Out My Biz,0.756,0.295,10,-21.139,0,0.0589,0.0389,0.0,0.0757,0.735,130.015,206811,spotify:track:1q9UXl5qSAfZQQsHH0YJ1M
314,Gucci Mane,Took By A Bitch (Feat. PeeWee Longway),0.75,0.0665,1,-24.417,1,0.655,0.00441,0.0,0.112,0.075,140.084,197329,spotify:track:6FoaYiB8mZOwTKIXOxPsEO
315,Gucci Mane,Siblings,0.738,0.332,0,-18.782,1,0.0495,0.107,0.0,0.0998,0.687,140.051,205740,spotify:track:26bq7xUuRBEULDw6Xkvtbi
316,Gucci Mane,OMG,0.854,0.179,1,-22.145,1,0.296,0.0122,0.0,0.146,0.572,97.527,134034,spotify:track:40nGhZaIFCPYaOwIA59vps
317,Gucci Mane,Lef Some,0.742,0.31,1,-21.216,1,0.0879,0.0389,0.0,0.4,0.613,133.899,175595,spotify:track:2Ef31Ae4IEMQeAOg7I4cKX
318,Gucci Mane,Clap Your Hands,0.575,0.782,7,-3.585,1,0.108,0.143,0.0,0.465,0.545,140.167,208693,spotify:track:231gS5jShL1Y9nqsP5a2Do
319,Gucci Mane,Donald Trump,0.768,0.323,6,-11.958,1,0.62,0.34,0.000676,0.12,0.178,134.766,131640,spotify:track:7x4nhun49AiW0VyjcCUALf
320,Gucci Mane,Geeked Up,0.782,0.62,1,-4.522,1,0.11,0.0716,0.0,0.282,0.402,140.014,191733,spotify:track:76HlkVyXMTLbsWwGGYQsn7
321,Gucci Mane,Hurt Nobody,0.722,0.652,9,-5.155,1,0.103,0.282,0.0,0.185,0.495,132.039,236373,spotify:track:5aQE5gouTtVqTHG1V1Zi3O
322,Gucci Mane,Tell Nobody,0.657,0.775,11,-3.823,1,0.035,0.401,0.0,0.111,0.698,129.986,210453,spotify:track:6SZMUEo3W1KcbM5X9vgIUF
323,Gucci Mane,Panaramic Roof,0.758,0.642,8,-4.711,1,0.181,0.0881,0.0,0.207,0.328,149.918,217600,spotify:track:6DmV6jZ8anCNnhik0weQNU
324,Gucci Mane,Riding Around,0.77,0.502,7,-5.149,1,0.0469,0.336,0.0,0.139,0.348,96.003,239987,spotify:track:6nzebCXvfqhazHDYSMe4Vm
325,Gucci Mane,See You Later,0.539,0.874,5,-3.288,0,0.384,0.249,0.0,0.82,0.58,129.805,239973,spotify:track:4ef7mEPmSrj7DEPvfdRXLj
